name,highway,maxspeed,oneway,reversed,length,rfid_c,rfid,avgspeed,time,EV1_ma,EV1_fr,EV1_ma_PD1,node_A,node_B,edge_fid,lanes,bridge,width,ref,service,junction,tunnel,access,osmid_original
Witte de Withstraat,residential,nan,True,False,66.364,"[2818, 223]",126,36.0,0.002,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,211521687
Roggeveenstraat,residential,30,True,False,222.403,"[283, 2213]",168,30.0,0.007,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7493696
Witte de Withstraat,residential,nan,True,False,59.075,"[209, 941]",498,36.0,0.002,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[7493659, 211521687]"
Noordwal,residential,30,True,False,57.388,224,127,30.0,0.002,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7493631
Koningsplein,residential,30,True,False,60.373999999999995,"[1528, 1529, 226, 235]",128,30.0,0.002,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7493382
Koningsplein,residential,30,True,False,16.717,1527,571,30.0,0.001,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7493382
Elandstraat,tertiary,50,False,True,60.106,"[241, 2330, 2735]",140,50.0,0.001,-9999.0,0.0,0.0,,,nan,2,nan,nan,nan,nan,nan,nan,nan,130801720
Elandplein,residential,30,True,False,38.775000000000006,"[236, 2333]",135,30.0,0.001,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7493673
Veenkade,residential,30,True,False,127.85900000000001,"[682, 970, 2467, 1386]",503,30.0,0.004,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7493615
1e De Riemerstraat,residential,30,True,False,149.763,"[2050, 262, 2479, 1399, 1560, 1561]",627,30.0,0.005,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,211521693
Korte Molenstraat,residential,30,False,False,55.252,1774,593,30.0,0.002,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,379109273
Prinsestraat,residential,30,True,False,53.003,"[245, 2615]",142,30.0,0.002,-9999.0,0.0,1.0,,,nan,nan,nan,3.4,nan,nan,nan,nan,nan,1163938315
Van Diemenstraat,residential,30,True,False,219.487,"[736, 237, 735]",136,30.0,0.007,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7493709
Witte de Withstraat,residential,30,True,False,61.866,"[2332, 255]",151,30.0,0.002,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,1215131333
Noordwal,residential,30,True,False,46.456,"[1157, 1158, 2470, 238, 2557]",137,30.0,0.002,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[211521663, 7493631]"
Elandstraat,tertiary,50,False,True,66.376,973,506,50.0,0.001,-9999.0,0.0,0.0,,,nan,2,nan,nan,nan,nan,nan,nan,nan,130801720
Elandplein,residential,30,True,False,41.462999999999994,"[1633, 1634, 2331, 239]",139,30.0,0.001,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7493724
Pieterstraat,residential,50,True,False,84.69,"[2612, 244, 2613, 2614]",141,50.0,0.002,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7477606
Prinsestraat,residential,30,True,False,60.510999999999996,"[976, 2487]",694,30.0,0.002,-9999.0,0.0,1.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7477665
Koningsplein,residential,30,True,False,12.199,"[1532, 1533, 246]",143,30.0,0.0,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7493382
Plaats,residential,50,False,True,12.706999999999999,"[249, 1383, 1385]",146,50.0,0.0,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7477414
Buitenhof,residential,50,True,False,76.32400000000001,"[1376, 1381, 233, 2162, 248, 1023]",145,50.0,0.002,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,44747522
Buitenhof,residential,50,True,False,33.546,"[696, 691]",415,50.0,0.001,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,44747522
Buitenhof,residential,50,True,False,33.754,"[256, 250, 259]",147,50.0,0.001,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,55625193
Buitenhof,residential,50,True,False,75.804,"[234, 758]",423,50.0,0.002,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,55625193
Koningsplein,residential,30,True,False,25.22,"[251, 252]",148,30.0,0.001,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,224013223
Koningsplein,residential,30,True,False,19.546,"[253, 1534, 1535]",149,30.0,0.001,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,224013223
Van Swietenstraat,residential,30,True,False,28.755000000000003,"[1536, 1537, 267]",572,30.0,0.001,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7493712
Weimarstraat,residential,30,True,False,69.23,"[930, 2580, 271]",492,30.0,0.002,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[7493778, 375396301]"
Witte de Withstraat,residential,30,True,False,61.190999999999995,"[2569, 254]",150,30.0,0.002,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7493695
Tasmanstraat,residential,30,True,False,217.87099999999998,"[737, 738, 739, 740, 309]",186,30.0,0.007,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7493715
Tivolistraat,residential,30,False,False,24.359,1559,574,30.0,0.001,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,211521677
Westerbaenstraat,residential,30,False,True,57.766000000000005,"[261, 2478, 1402, 2042, 1563, 1565]",624,30.0,0.002,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,211521685
Buitenhof,tertiary,50,True,False,13.716,"[263, 2122, 2124, 1393, 692]",154,50.0,0.0,-9999.0,0.0,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,44747521
Lange Vijverberg,tertiary,50,True,False,14.75,"[690, 1387, 1388, 2123]",414,50.0,0.0,-9999.0,0.0,0.0,,,nan,1,nan,nan,nan,nan,nan,nan,nan,7476028
Lange Vijverberg,tertiary,50,True,False,98.0,"[1892, 264, 1389, 2128, 2129, 2130, 2131, 2132, 2133, 278, 2135, 2136, 2137, 2138, 2139, 2134, 1149, 286]",155,50.0,0.006,-9999.0,0.0,,45155959.0,11695230688.0,45155959_11695230688,1,nan,nan,nan,nan,nan,nan,nan,"[1359070465, 694353013]"
Kneuterdijk,tertiary,50,True,False,77.42699999999999,"[1024, 2690, 265, 2121, 1036, 1394, 694]",156,50.0,0.002,-9999.0,0.0,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[129481547, 444310718]"
Lange Vijverberg,tertiary,50,True,False,14.991,"[266, 2125, 1390, 1391, 1392]",157,50.0,0.0,-9999.0,0.0,0.0,,,nan,1,nan,nan,nan,nan,nan,nan,nan,1359070466
Lange Vijverberg,tertiary,50,True,False,281.026,"[1408, 1413, 305, 693, 2126, 1628, 1889, 1893, 1894, 1895, 1896, 1897, 2154, 1395, 1396, 1403, 1405, 1150, 1407]",646,50.0,0.006,-9999.0,0.0,0.0,,,nan,1,nan,nan,nan,nan,nan,nan,nan,203242523
Witte de Withstraat,residential,30,True,False,61.737,"[2568, 268]",158,30.0,0.002,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7493695
Van Brakelstraat,residential,30,True,False,213.66800000000003,"[320, 1280, 741, 2791]",194,30.0,0.007,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7493720
Veenkade,residential,30,False,True,27.797,"[1744, 273, 1747, 2496]",162,30.0,0.001,0.3904990255832672,0.31400723598023533,0.0,,,nan,2,yes,nan,nan,nan,nan,nan,nan,"[7477706, 315380300, 315380301]"
Veenkade,residential,30,False,True,9.183,"[2576, 1249, 2491, 2493]",537,30.0,0.0,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7477758
Toussaintkade,residential,30,True,False,239.0,"[2528, 2497, 2825, 1203, 348, 2494]",218,30.0,0.01,0.22834903001785278,0.015028096442476768,0.0,45156145.0,11695230687.0,45156145_11695230687,nan,nan,nan,nan,nan,nan,nan,nan,"[1161106458, 7477451]"
Hemsterhuisstraat,residential,"['30', '50']",False,False,45.555,"[1573, 2475, 1164, 1168, 2359, 1566]",527,40.0,0.001,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[37744081, 1160226660]"
Hemsterhuisstraat,residential,30,True,False,221.42299999999997,"[2816, 769, 2817, 1, 5, 242]",431,30.0,0.007,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7493677
Prinsessewal,residential,50,False,True,292.42,"[353, 2172, 2706, 1206, 2167, 2652, 2654]",221,50.0,0.006,-9999.0,0.0,1.0,,,nan,2,nan,nan,nan,nan,nan,nan,nan,"[738635336, 7477753]"
Prinsessewal,residential,50,False,False,28.842,"[2488, 777, 2484, 2486]",695,50.0,0.001,-9999.0,0.0,1.0,,,nan,2,nan,nan,nan,nan,nan,nan,nan,"[1125919226, 1125919227, 1316850948, 1316850949]"
Van Kinsbergenstraat,residential,30,True,False,214.028,279,165,30.0,0.007,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7493520
Witte de Withstraat,residential,30,True,False,66.268,"[280, 1406]",166,30.0,0.002,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7493695
Kneuterdijk,tertiary,50,True,False,48.569,"[282, 1030, 1038]",167,50.0,0.001,-9999.0,0.0,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[335337587, 444310718]"
Hoge Nieuwstraat,residential,50,True,False,312.73199999999997,"[2595, 323, 301, 303, 315]",196,50.0,0.006,-9999.0,0.0,0.0,,,nan,nan,nan,5,nan,nan,nan,nan,nan,7477409
Prins Hendrikstraat,residential,30,False,True,65.552,"[2215, 295]",176,30.0,0.002,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7493697
Prins Hendrikstraat,residential,30,False,False,74.60400000000001,"[2211, 943, 2578, 277, 953]",499,30.0,0.002,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[7493697, 7493690]"
Roggeveenstraat,residential,30,True,False,108.899,312,188,30.0,0.004,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7493728
Zoutmanstraat,residential,50,False,True,171.049,334,206,50.0,0.003,-9999.0,0.0,0.0,,,nan,2,nan,nan,nan,nan,nan,nan,nan,1174008419
Zoutmanstraat,residential,50,True,False,45.159,"[2736, 2033, 2034, 2035, 287]",172,50.0,0.001,-9999.0,0.0,0.0,,,nan,1,nan,nan,nan,nan,nan,nan,nan,"[694309489, 1174006905]"
Vondelstraat,residential,50,False,False,7.187,1200,532,50.0,0.0,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,1030143771
Elandstraat,residential,50,True,False,45.150000000000006,"[289, 2538, 1174]",174,50.0,0.001,-9999.0,0.0,0.0,,,nan,2,nan,nan,nan,nan,nan,nan,nan,7493717
Elandstraat,residential,50,True,False,167.2,"[321, 2362, 310, 2703]",195,50.0,0.003,-9999.0,0.0,0.0,,,nan,"['1', '2']",nan,nan,nan,nan,nan,nan,nan,"[1030143769, 7493717]"
Prins Hendrikstraat,residential,30,False,True,63.146,"[2217, 308]",185,30.0,0.002,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7493697
Van Diemenstraat,residential,30,True,False,116.61099999999999,"[2218, 326]",200,30.0,0.004,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7493517
Heulstraat,residential,30,False,True,41.459,1969,602,30.0,0.001,-9999.0,0.0,0.0,,,nan,2,nan,nan,nan,nan,nan,nan,nan,37746418
Kneuterdijk,tertiary,50,True,False,134.98299999999998,"[2689, 1029, 297, 1035, 2732, 1037, 687, 688, 1968, 695]",178,50.0,0.003,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[72518905, 335337590]"
Kneuterdijk,residential,50,False,False,16.333,"[1409, 1411, 300]",181,50.0,0.0,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,72518908
Kneuterdijk,tertiary,50,True,False,72.268,"[704, 706, 1028, 1995, 1901, 1902, 1903, 1616, 1904, 982, 983]",606,50.0,0.001,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,228413676
Kneuterdijk,tertiary,50,True,False,54.424,"[705, 1027, 1031, 1032, 1898, 299, 981]",180,50.0,0.001,-9999.0,0.0,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,72518906
Van Galenstraat,residential,30,True,False,208.821,302,182,30.0,0.007,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7493501
Tasmanstraat,residential,30,True,False,123.179,"[2792, 306]",183,30.0,0.004,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7493504
Prins Hendrikstraat,residential,30,False,True,63.918,"[2590, 319]",193,30.0,0.002,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7493697
Van Speijkstraat,residential,30,True,False,55.538,311,187,30.0,0.002,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7493727
Van Speijkstraat,residential,30,True,False,66.314,327,198,30.0,0.002,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7493727
Heemskerckstraat,residential,30,True,False,116.0,"[313, 2645]",189,30.0,0.007,-9999.0,0.0,0.0,45161770.0,11695230686.0,45161770_11695230686,nan,nan,nan,nan,nan,nan,nan,nan,7493508
Lange Voorhout,residential,30,True,False,288.396,"[1920, 1923, 1925, 1928, 1930, 316, 322, 2762, 2763, 2764, 2765, 2766, 1617, 339, 1888, 354, 2787, 2788, 355, 2283]",190,30.0,0.01,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7476180
Lange Voorhout,residential,30,True,False,336.04999999999995,"[1921, 1922, 1924, 1927, 1929, 2761, 2767, 2768, 2769, 2770, 374, 317]",191,30.0,0.011,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[7476273, 7477447]"
Lange Voorhout,residential,30,True,False,70.828,"[1033, 1034, 701, 1615]",418,30.0,0.002,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[1159455957, 689007389]"
Prins Hendrikstraat,residential,30,False,True,59.540000000000006,"[330, 2586]",203,30.0,0.002,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7493697
Barentszstraat,residential,30,True,False,205.903,390,245,30.0,0.007,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7493511
Elandstraat,residential,50,True,False,52.825,331,204,50.0,0.001,-9999.0,0.0,0.0,,,nan,1,nan,nan,nan,nan,nan,nan,nan,1030143769
Tollensstraat,residential,30,True,False,174.18699999999998,"[291, 2055, 1578, 1579, 2826, 1230, 2480, 1201, 1400]",631,30.0,0.006,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,694312289
Lange Voorhout,residential,50,False,True,21.451999999999998,"[2144, 698, 2140]",648,50.0,0.0,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[193081596, 689007388]"
Van Diemenstraat,residential,30,False,True,91.94399999999999,"[764, 350]",428,30.0,0.003,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7493482
Van Speijkstraat,residential,30,True,False,62.482,343,213,30.0,0.002,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7493727
Prins Hendrikstraat,residential,30,False,True,34.51,340,211,30.0,0.001,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7493697
Van Kinsbergenstraat,residential,30,True,False,129.477,"[328, 1858]",202,30.0,0.004,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7493505
Elandstraat,residential,50,True,False,86.38499999999999,"[2577, 347]",217,50.0,0.002,-9999.0,0.0,0.0,,,nan,1,nan,nan,nan,nan,nan,nan,nan,1147998990
Bilderdijkstraat,residential,30,True,False,218.136,"[1576, 1577, 2058, 2482, 1202, 1398, 281]",633,30.0,0.007,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,211521654
Lange Voorhout,residential,30,True,False,81.786,"[1728, 1993, 332, 1614]",205,30.0,0.003,-9999.0,0.0,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[683964132, 55625197]"
Lange Voorhout,residential,30,True,False,10.762,"[337, 709]",209,30.0,0.0,-9999.0,0.0,,,,nan,nan,nan,nan,nan,driveway,nan,nan,nan,7477460
Lange Voorhout,residential,30,True,False,47.022,708,419,30.0,0.002,-9999.0,0.0,1.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,55625197
Prins Hendrikplein,residential,50,True,False,65.456,"[1184, 1186, 2313, 2314, 2315, 333, 2322, 2326, 1180, 1181, 1182]",207,50.0,0.001,-9999.0,0.0,0.0,,,nan,1,nan,nan,nan,nan,circular,nan,nan,139606617
Prins Hendrikplein,residential,50,True,False,65.265,"[2316, 2317, 2320, 1588, 341, 1175, 1176, 1177, 1178, 1179]",212,50.0,0.001,-9999.0,0.0,0.0,,,nan,1,nan,nan,nan,nan,circular,nan,nan,139606617
Jacob van der Doesstraat,residential,30,True,False,260.898,"[2592, 335, 411, 380, 2591]",208,30.0,0.009,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7493507
Kleine Kazernestraat,residential,30,False,False,86.393,"[1248, 2793, 367]",230,30.0,0.003,-9999.0,0.0,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[228457616, 7477443]"
Prins Hendrikplein,residential,50,True,False,63.276,"[1185, 1187, 1188, 1189, 2030, 2319, 2321, 2324, 1183]",621,50.0,0.001,-9999.0,0.0,0.0,,,nan,1,nan,nan,nan,nan,circular,nan,nan,139606617
Tasmanstraat,residential,30,False,True,88.365,"[2722, 675, 2790, 2439, 369]",410,30.0,0.003,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,211778321
Van Speijkstraat,residential,30,True,False,125.374,375,233,30.0,0.004,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,211529614
Oranjestraat,residential,30,True,False,88.785,364,226,30.0,0.003,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7477662
Noordeinde,residential,30,True,False,191.874,"[393, 1211]",535,30.0,0.006,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,335613655
Piet Heinstraat,residential,50,False,False,6.103,1204,533,50.0,0.0,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,1030143776
Piet Heinplein,residential,50,True,False,33.669,"[352, 2372, 1239, 2648, 1213]",220,50.0,0.001,0.3904990255832672,0.1605285888744747,1.0,,,nan,1,yes,nan,nan,nan,nan,nan,nan,"[7477450, 144189795, 144189796]"
Toussaintkade,residential,30,True,False,49.0,"[2528, 2497, 2825, 1203, 348, 2494]",218,30.0,0.01,0.17247900366783142,0.02360903740844722,1.0,11695230687.0,45165088.0,11695230687_45165088,nan,nan,nan,nan,nan,nan,nan,nan,"[1161106458, 7477451]"
Trompstraat,residential,30,True,False,212.73499999999999,"[427, 396, 2573, 370, 2683, 2684, 2685, 2686]",266,30.0,0.007,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7493488
Hogewal,residential,50,False,True,199.863,"[1216, 2656, 1209, 2374, 2157, 2708, 2389, 985, 2650, 1215]",674,50.0,0.004,-9999.0,0.0,2.0,,,nan,"['2', '3']",nan,nan,nan,nan,nan,nan,nan,"[1030148546, 142052076, 7476973]"
Anna Paulownastraat,residential,50,True,False,37.763000000000005,"[2373, 2704, 371, 1207, 1240, 1241]",231,50.0,0.001,0.3904990255832672,0.211131084554354,0.0,,,nan,1,yes,nan,nan,nan,nan,nan,nan,"[144189793, 144189794, 7477445]"
Prins Hendrikstraat,residential,30,False,True,31.052,362,224,30.0,0.001,-9999.0,0.0,1.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7493500
Prins Hendrikplein,residential,50,True,False,66.592,"[1190, 359, 1192, 1193, 1194, 1191, 360, 2318, 2323, 2325]",223,50.0,0.001,-9999.0,0.0,1.0,,,nan,1,nan,nan,nan,nan,circular,nan,nan,139606617
Prins Hendrikstraat,residential,30,False,True,60.801,"[2588, 383]",238,30.0,0.002,-9999.0,0.0,1.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7493500
